Code ,Meaning
Adm,Admiral
Atty,Attorney
Brother,Brother (religious)
Capt,Captain
Chief,Chief
Cmdr,Commander
Col,Colonel
Dean,University Dean (includes Assistant and Associate)
Dr,Doctor (Medical or Educator)
Elder,Elder (religious)
Father,Father (religious)
Gen,General
Gov,Governor
Hon,"Honorable (Cabinet Officer, Commissioner, Congressman, Judge, Supreme Court, United Nations US Delegate, Major, Senator, and Representative)"
Lt Col,Lieutenant Colonel
Maj,Major
MSgt,Major/Master Sergeant
Mr,Mister
Mrs,Married Woman
Ms,Single or Married Woman
Prince,Prince
Prof,Professor (includes Assistant and Associate
Rabbi,Rabbi (religious)
Rev,Reverend (religious)
Sister,Sister
